,name,accuracy,precision,recall,f1,duration_s
0,6LoWPAN-ARF-ADWIN,94.74000000000001,94.43,86.58,89.9,2.956843852996826
1,6LoWPAN-ARF-DDM,94.83,94.34,86.98,90.12,3.6553239822387695
2,6LoWPAN-AMF,93.83,94.19,83.57,87.74,70.93916702270508
3,6LoWPAN-EFDT,86.17,75.82,80.2,77.64999999999999,4.993346929550171
4,6LoWPAN-HAT,90.18,83.39,81.0,82.12,2.4868240356445312
5,6LoWPAN-HTC,87.33,77.89,76.6,77.21000000000001,1.3998639583587646
6,6LoWPAN-SGT,81.58999999999999,44.9,49.49,45.47,4.5296080112457275
7,6LoWPAN_-ADWIN-BA-HT,87.96000000000001,79.67,75.47,77.28,4.663509130477905
8,6LoWPAN-ADWIN-BO-HT,89.25,80.78,82.69999999999999,81.69,5.636063098907471
9,6LoWPAN-ADA-HT,89.85,82.03,82.66,82.34,4.571641206741333
10,6LoWPAN-BOLE-HT,88.47,79.51,81.26,80.34,4.800765752792358
11,6LoWPAN-BAG-HT,91.09,84.54,83.86,84.19,4.009734153747559
12,6LoWPAN-LEVBAG-HT,95.19,94.62,88.0,90.88000000000001,17.44480299949646
13,6LoWPAN-SRP-HT,94.34,93.43,85.99,89.14999999999999,13.749481916427612
14,6LoWPAN-SRP-ADWIN,94.45,93.21000000000001,86.59,89.45,16.52939796447754
15,6LoWPAN-SRP-DDM,93.49,92.30000000000001,83.86,87.33,17.433664083480835
16,6LoWPAN-ARF-ADWIN,93.92,93.78,84.19,88.05,2.9179887771606445
17,6LoWPAN-ARF-DDM,95.12,95.24000000000001,87.25,90.63,3.711477041244507
18,6LoWPAN-AMF,94.48,95.74000000000001,84.66,89.01,89.69355487823486
19,6LoWPAN-EFDT,90.7,85.56,79.81,82.25,5.729392766952515
20,6LoWPAN-HAT,90.42,84.11999999999999,80.82000000000001,82.32000000000001,2.9207117557525635
21,6LoWPAN-HTC,90.05,83.49,80.0,81.58,1.4156899452209473
22,6LoWPAN-SGT,82.74000000000001,59.75,50.19,45.86,5.451987981796265
23,6LoWPAN_-ADWIN-BA-HT,88.31,79.13,82.28,80.54,4.480744123458862
24,6LoWPAN-ADWIN-BO-HT,89.67,81.63,82.73,82.16,5.8750739097595215
25,6LoWPAN-ADA-HT,91.41,85.19,84.26,84.72,4.752813100814819
26,6LoWPAN-BOLE-HT,91.82000000000001,87.07000000000001,82.94,84.8,4.752435207366943
27,6LoWPAN-BAG-HT,90.29,83.8,80.73,82.14,3.911353826522827
28,6LoWPAN-LEVBAG-HT,93.89,92.04,85.61999999999999,88.4,17.452362060546875
29,6LoWPAN-SRP-HT,93.65,91.08000000000001,85.71,88.08,13.043416976928711
30,6LoWPAN-SRP-ADWIN,94.71000000000001,93.96,86.88,89.92,17.478413105010986
31,6LoWPAN-SRP-DDM,94.52000000000001,95.16,85.21,89.22,18.24584984779358
32,6LoWPAN-ARF-ADWIN,94.57,93.35,86.92999999999999,89.72,2.9918529987335205
33,6LoWPAN-ARF-DDM,94.15,94.54,84.39999999999999,88.44,3.8466379642486572
34,6LoWPAN-AMF,97.78,98.34,93.83,95.91,93.86892414093018
35,6LoWPAN-EFDT,91.53,84.83000000000001,85.91,85.35000000000001,6.887235164642334
36,6LoWPAN-HAT,89.24,82.78,76.77000000000001,79.25,2.38309907913208
37,6LoWPAN-HTC,92.02,85.3,87.76,86.45,1.3724119663238525
38,6LoWPAN-SGT,87.29,91.55,63.43,67.56,4.280205011367798
39,6LoWPAN_-ADWIN-BA-HT,87.22,77.45,78.67,78.03,4.73567008972168
40,6LoWPAN-ADWIN-BO-HT,88.32,79.17,82.01,80.46,5.255275011062622
41,6LoWPAN-ADA-HT,97.02,94.91000000000001,94.58,94.75,4.701869010925293
42,6LoWPAN-BOLE-HT,93.32000000000001,87.89,89.03,88.44,4.941627025604248
43,6LoWPAN-BAG-HT,93.5,87.11,92.11,89.32,3.9927890300750732
44,6LoWPAN-LEVBAG-HT,94.5,93.37,86.65,89.55,17.651304244995117
45,6LoWPAN-SRP-HT,93.85,91.66,85.88,88.41,13.88407301902771
46,6LoWPAN-SRP-ADWIN,95.15,95.38,87.22999999999999,90.67,17.441909074783325
47,6LoWPAN-SRP-DDM,95.38,95.57,87.86,91.14,16.657373189926147
48,6LoWPAN-ARF-ADWIN,94.05,93.4,84.98,88.46000000000001,2.9122092723846436
49,6LoWPAN-ARF-DDM,92.12,90.16,80.64,84.38,3.909195899963379
50,6LoWPAN-AMF,99.00999999999999,99.33999999999999,97.17,98.22,95.43376016616821
51,6LoWPAN-EFDT,90.18,83.88,79.96,81.71000000000001,6.0110180377960205
52,6LoWPAN-HAT,91.83,86.22,84.44,85.28999999999999,2.4100558757781982
53,6LoWPAN-HTC,95.64,91.89,93.01,92.44,1.3644821643829346
54,6LoWPAN-SGT,88.14999999999999,92.23,65.93,70.75,4.392417907714844
55,6LoWPAN_-ADWIN-BA-HT,87.42,77.7,81.84,79.47999999999999,4.597681045532227
56,6LoWPAN-ADWIN-BO-HT,87.74,78.19,81.91000000000001,79.82000000000001,5.6699018478393555
57,6LoWPAN-ADA-HT,98.18,96.43,97.23,96.83,4.559096813201904
58,6LoWPAN-BOLE-HT,96.08,93.30000000000001,92.86999999999999,93.08,4.571636199951172
59,6LoWPAN-BAG-HT,94.89999999999999,91.38,90.53999999999999,90.95,3.9785940647125244
60,6LoWPAN-LEVBAG-HT,94.0,92.55,85.55,88.53999999999999,17.74948525428772
61,6LoWPAN-SRP-HT,94.63000000000001,94.38,86.22999999999999,89.64999999999999,12.763478755950928
62,6LoWPAN-SRP-ADWIN,93.78,93.94,83.57,87.66000000000001,18.16138195991516
63,6LoWPAN-SRP-DDM,93.91000000000001,92.36999999999999,85.39,88.37,18.569371223449707
64,6LoWPAN-ARF-ADWIN,94.89999999999999,94.92,86.74,90.18,2.889739990234375
65,6LoWPAN-ARF-DDM,93.95,93.8,84.28,88.12,3.7688612937927246
