,name,accuracy,precision,recall,f1,duration_s
0,CIC-ARF-ADWIN,94.63000000000001,93.88,86.67,89.75,3.127873182296753
1,CIC-ARF-DDM,94.81,94.03,87.18,90.14,3.6988108158111572
2,CIC-AMF,93.75,94.25,83.26,87.53,67.98618912696838
3,CIC-EFDT,86.17,75.82,80.2,77.64999999999999,5.150572061538696
4,CIC-HAT,90.33,83.7,81.24,82.38,2.4946529865264893
5,CIC-HTC,87.33,77.89,76.6,77.21000000000001,1.3845272064208984
6,CIC-SGT,81.58999999999999,44.9,49.49,45.47,4.542073011398315
7,CIC_-ADWIN-BA-HT,86.87,76.9,81.78999999999999,78.92,4.614781141281128
8,CIC-ADWIN-BO-HT,89.22,80.78,82.43,81.57,6.058188199996948
9,CIC-ADA-HT,90.97,84.42,83.39999999999999,83.89999999999999,4.958591938018799
10,CIC-BOLE-HT,91.34,85.68,82.83,84.15,5.05788779258728
11,CIC-BAG-HT,88.81,80.55,79.47999999999999,79.99000000000001,3.8862149715423584
12,CIC-LEVBAG-HT,94.88,94.27,87.22,90.25999999999999,17.59917116165161
13,CIC-SRP-HT,94.28,92.67,86.49,89.19,14.242989778518677
14,CIC-SRP-ADWIN,95.7,95.27,89.27000000000001,91.92,16.130919218063354
15,CIC-SRP-DDM,94.48,94.61,85.52,89.25,16.084288120269775
16,CIC-ARF-ADWIN,94.55,93.73,86.5,89.59,3.089437961578369
17,CIC-ARF-DDM,94.41000000000001,93.78,85.95,89.25,4.21612811088562
18,CIC-AMF,94.21000000000001,95.5,83.93,88.41,85.75791597366333
19,CIC-EFDT,90.7,85.56,79.81,82.25,6.0721752643585205
20,CIC-HAT,90.9,85.65,80.64,82.83,2.655949831008911
21,CIC-HTC,90.05,83.49,80.0,81.58,1.3446240425109863
22,CIC-SGT,82.74000000000001,59.75,50.19,45.86,5.370191812515259
23,CIC_-ADWIN-BA-HT,89.82,81.8,83.41,82.57,4.772491931915283
24,CIC-ADWIN-BO-HT,88.22,78.99000000000001,81.97,80.33,5.357807159423828
25,CIC-ADA-HT,93.04,87.28,88.85,88.03,4.770708322525024
26,CIC-BOLE-HT,89.92999999999999,82.28,82.38,82.33,5.353058815002441
27,CIC-BAG-HT,92.86999999999999,88.14999999999999,86.25,87.16000000000001,3.887258768081665
28,CIC-LEVBAG-HT,94.58,92.61,87.7,89.91,17.595335245132446
29,CIC-SRP-HT,94.17999999999999,92.36999999999999,86.4,89.01,13.441635847091675
30,CIC-SRP-ADWIN,95.16,95.22,87.39,90.71000000000001,15.979420900344849
31,CIC-SRP-DDM,93.97,92.9,85.13,88.39,18.107408046722412
32,CIC-ARF-ADWIN,93.60000000000001,93.32000000000001,83.43,87.36,3.236470937728882
33,CIC-ARF-DDM,94.28,93.63,85.59,88.94999999999999,3.654057025909424
34,CIC-AMF,97.6,98.27,93.27,95.55,89.82484602928162
35,CIC-EFDT,91.53,84.83000000000001,85.91,85.35000000000001,7.013695955276489
36,CIC-HAT,90.81,84.73,81.81,83.16,2.274080991744995
37,CIC-HTC,92.02,85.3,87.76,86.45,1.349592924118042
38,CIC-SGT,87.29,91.55,63.43,67.56,3.930867910385132
39,CIC_-ADWIN-BA-HT,90.60000000000001,85.0,80.19,82.28999999999999,5.148416042327881
