,name,accuracy,precision,recall,f1,duration_s
0,IoT_2020-ARF-ADWIN,98.15,94.6,87.5,90.7,1.0025572776794434
1,IoT_2020-ARF-DDM,97.42,94.6,80.11,85.77,0.9573709964752197
2,IoT_2020-AMF,95.66,96.6,62.4,68.67999999999999,13.545344829559326
3,IoT_2020-EFDT,97.3,95.62,78.14999999999999,84.56,3.439662218093872
4,IoT_2020-HAT,95.11,89.18,59.050000000000004,63.74999999999999,0.6310300827026367
5,IoT_2020-HTC,95.1,81.72,63.27,68.19,0.4404871463775635
6,IoT_2020-SGT,95.84,91.35,66.0,72.45,2.3430488109588623
7,IoT_2020_-ADWIN-BA-HT,95.91,90.02,67.49000000000001,73.83,1.5586340427398682
8,IoT_2020-ADWIN-BO-HT,95.47,83.04,67.84,72.85000000000001,1.5727970600128174
9,IoT_2020-ADA-HT,95.77,86.61999999999999,68.28999999999999,74.0,1.8755362033843994
10,IoT_2020-BOLE-HT,95.89,90.19,67.19000000000001,73.55000000000001,1.4246208667755127
11,IoT_2020-BAG-HT,95.28999999999999,81.43,67.16,71.89,1.2637910842895508
12,IoT_2020-LEVBAG-HT,97.57000000000001,96.6,80.04,86.31,6.16471791267395
13,IoT_2020-SRP-HT,97.97,96.47,84.05,89.18,4.86915397644043
14,IoT_2020-SRP-ADWIN,98.92999999999999,98.4,91.56,94.67999999999999,4.6473400592803955
15,IoT_2020-SRP-DDM,98.92,99.42999999999999,90.53,94.48,5.329876899719238
16,IoT_2020-ARF-ADWIN,98.15,96.67,85.6,90.29,0.9367468357086182
17,IoT_2020-ARF-DDM,98.88,98.19,91.24,94.41000000000001,1.2830519676208496
18,IoT_2020-AMF,97.97,98.27,82.74000000000001,88.83,17.765620231628418
19,IoT_2020-EFDT,98.9,98.71,90.96,94.46,5.008496999740601
20,IoT_2020-HAT,98.35000000000001,94.08999999999999,90.08,91.97999999999999,0.6968541145324707
21,IoT_2020-HTC,98.33,94.59,89.34,91.78,0.4083271026611328
22,IoT_2020-SGT,98.52,97.39,88.57000000000001,92.47,2.8371970653533936
23,IoT_2020_-ADWIN-BA-HT,98.13,94.86,87.05000000000001,90.53,1.5543322563171387
24,IoT_2020-ADWIN-BO-HT,98.13,91.21000000000001,91.57,91.39,1.5456900596618652
25,IoT_2020-ADA-HT,98.81,95.89999999999999,92.81,94.28999999999999,1.450023889541626
26,IoT_2020-BOLE-HT,98.92999999999999,96.73,93.16,94.86,1.4222819805145264
27,IoT_2020-BAG-HT,98.11999999999999,93.08999999999999,88.79,90.81,1.2850379943847656
28,IoT_2020-LEVBAG-HT,99.32,98.83999999999999,94.83,96.74000000000001,6.065562963485718
29,IoT_2020-SRP-HT,98.42,98.0,87.06,91.74,4.660638809204102
30,IoT_2020-SRP-ADWIN,99.11,98.53,93.11,95.64,5.367887735366821
31,IoT_2020-SRP-DDM,99.38,99.51,94.71000000000001,96.97,6.132820129394531
32,IoT_2020-ARF-ADWIN,97.81,97.94,81.47999999999999,87.8,0.9258439540863037
33,IoT_2020-ARF-DDM,99.5,99.58,95.8,97.6,1.3371021747589111
34,IoT_2020-AMF,99.22,99.59,93.17,96.13000000000001,16.95560097694397
35,IoT_2020-EFDT,98.42,92.32000000000001,93.17999999999999,92.74,4.243762969970703
36,IoT_2020-HAT,98.79,98.11999999999999,90.46,93.92,0.6556100845336914
37,IoT_2020-HTC,98.6,96.81,89.77000000000001,92.97,0.41782689094543457
38,IoT_2020-SGT,98.61,98.34,88.62,92.86,2.6007678508758545
39,IoT_2020_-ADWIN-BA-HT,98.33,93.94,90.07,91.9,1.5426840782165527
40,IoT_2020-ADWIN-BO-HT,95.72,84.32,70.02000000000001,75.02,1.6642920970916748
41,IoT_2020-ADA-HT,99.18,98.9,93.44,95.99,1.3280551433563232
42,IoT_2020-BOLE-HT,99.27,96.94,96.26,96.6,1.3953242301940918
43,IoT_2020-BAG-HT,98.47,95.76,89.56,92.41,1.241589069366455
44,IoT_2020-LEVBAG-HT,99.31,99.47,94.08999999999999,96.6,5.937154054641724
45,IoT_2020-SRP-HT,99.18,98.27,94.02000000000001,96.04,4.546173095703125
46,IoT_2020-SRP-ADWIN,99.47,99.56,95.49,97.42,5.1943628787994385
47,IoT_2020-SRP-DDM,99.48,99.72999999999999,95.5,97.50999999999999,7.485349178314209
48,IoT_2020-ARF-ADWIN,98.65,97.18,89.95,93.22,1.0200817584991455
49,IoT_2020-ARF-DDM,99.5,99.58,95.8,97.6,1.5877432823181152
50,IoT_2020-AMF,99.48,99.72999999999999,95.5,97.50999999999999,17.033686876296997
51,IoT_2020-EFDT,98.47,94.66,90.73,92.58999999999999,4.063125133514404
52,IoT_2020-HAT,98.79,98.11999999999999,90.46,93.92,0.6326658725738525
53,IoT_2020-HTC,98.74000000000001,97.59,90.42999999999999,93.67999999999999,0.3990902900695801
54,IoT_2020-SGT,98.61,98.34,88.62,92.86,2.2377920150756836
55,IoT_2020_-ADWIN-BA-HT,98.49,96.86,88.7,92.34,1.49295973777771
56,IoT_2020-ADWIN-BO-HT,94.37,90.05,50.92,50.370000000000005,1.5696110725402832
57,IoT_2020-ADA-HT,99.31,98.67,94.82000000000001,96.66,1.4179611206054688
58,IoT_2020-BOLE-HT,99.61,97.78999999999999,98.63,98.2,1.4039008617401123
