s,Accuracy,Precision,Recall,F1-score,Time
10,98.91,98.21,95.38,96.78,61.35532093048096
10,98.89,98.07000000000001,95.43,96.73,62.50325298309326
10,98.88,98.14,95.28999999999999,96.7,60.24740958213806
10,98.77,97.83,94.95,96.37,66.89375448226929
10,98.86,98.25,95.07,96.63000000000001,78.37440586090088
50,98.52,97.72999999999999,93.58,95.61,65.33101296424866
50,98.61,98.0,93.85,95.88,68.599276304245
50,98.45,97.34,93.56,95.41,67.13812017440796
50,98.5,98.07000000000001,93.08,95.50999999999999,58.71479630470276
50,98.52,97.87,93.44,95.61,70.33892798423767
250,96.89999999999999,96.65,84.92,90.4,81.88937473297119
250,97.87,96.92,90.47,93.58,72.04106998443604
250,96.97,97.6,84.46000000000001,90.56,82.85030937194824
250,96.95,97.17,84.69,90.5,80.73058342933655
250,97.16,97.85000000000001,85.36,91.18,77.79113984107971
1000,92.60000000000001,93.69,61.07,73.94,67.14990496635437
1000,92.97,95.76,61.85000000000001,75.14999999999999,61.12818217277527
1000,92.88,95.88,61.21,74.72,61.01149296760559
1000,93.11,97.64,61.41,75.4,68.81003975868225
1000,92.7,93.96,61.480000000000004,74.33,70.94964241981506
