s,Accuracy,Precision,Recall,F1-score,Time
10,99.2,99.16,100.0,99.58,19.392751693725586
10,99.13,99.1,99.98,99.53999999999999,19.49231719970703
10,99.0,98.97,99.98,99.47,19.72649049758911
10,98.81,98.79,99.96000000000001,99.37,28.012741327285767
10,98.92999999999999,98.92,99.96000000000001,99.44,25.153793334960938
50,98.95,98.94,99.96000000000001,99.45,26.11299729347229
50,98.97,98.96000000000001,99.96000000000001,99.46000000000001,24.35497283935547
50,99.06,99.00999999999999,100.0,99.5,26.437397003173828
50,99.0,98.97,99.98,99.47,26.902640104293823
50,99.13,99.08,100.0,99.53999999999999,22.132142782211304
250,98.83,98.86,99.91,99.38,24.103476762771606
250,99.08,99.05000000000001,99.98,99.51,23.562133312225342
250,98.6,98.55000000000001,99.98,99.26,15.455482959747314
250,98.95,98.92,99.98,99.45,15.746943235397339
250,98.95,98.92,99.98,99.45,15.697528600692749
1000,99.2,99.16,100.0,99.58,15.477380752563477
1000,99.11,99.07000000000001,100.0,99.53,15.686713457107544
1000,98.92999999999999,98.9,99.98,99.44,15.22765302658081
1000,99.0,98.99,99.96000000000001,99.47,16.16329789161682
1000,98.72,98.77,99.89,99.33,15.299312353134155
