dst,cid,dci,next,pattern,Label
3,3,0,3,6,0
29,29,0,29,41,0
0,0,0,0,168,1
0,0,0,0,158,1
1,1,0,1,152,1
2,2,0,2,116,1
30,30,0,30,30,0
44,44,0,44,44,0
45,45,0,45,45,0
29,29,0,29,29,0
54,54,0,54,54,0
31,31,0,31,31,0
54,54,0,54,54,0
72,72,0,72,72,0
134,134,0,134,134,1
104,104,0,104,104,1
243,243,0,243,243,1
133,133,0,133,133,1
163,163,0,163,163,1
154,154,0,154,154,1
158,158,0,158,158,1
149,149,0,149,149,1
146,146,0,146,146,1
154,154,0,154,154,1
150,150,0,150,150,1
170,170,0,170,170,1
144,144,0,144,144,1
159,159,0,159,159,1
180,180,0,180,180,1
162,162,0,162,162,1
178,178,0,178,178,1
155,155,0,155,155,1
138,138,0,138,138,1
157,157,0,157,157,1
70,70,0,70,70,0
149,149,0,149,149,1
154,154,0,154,154,1
140,140,0,140,140,1
176,176,0,176,176,1
147,147,0,147,147,1
141,141,0,141,141,1
154,154,0,154,154,1
106,106,0,106,106,1
139,139,0,139,139,1
153,153,0,153,153,1
96,96,0,96,96,0
147,147,0,147,147,1
164,164,0,164,164,1
132,132,0,132,132,1
125,125,0,125,125,1
148,148,0,148,148,1
152,152,0,152,152,1
171,171,0,171,171,1
149,149,0,149,149,1
170,170,0,170,170,1
174,174,0,174,174,1
191,191,0,191,191,1
154,154,0,154,154,1
157,157,0,157,157,1
186,186,0,186,186,1
162,162,0,162,162,1
152,152,0,152,152,1
160,160,0,160,160,1
172,172,0,172,172,1
171,171,0,171,171,1
156,156,0,156,156,1
170,170,0,170,170,1
146,146,0,146,146,1
132,132,0,132,132,1
103,103,0,103,103,1
95,95,0,95,95,0
96,96,0,96,96,0
73,73,0,73,73,0
30,30,0,30,30,0
36,36,0,36,36,0
35,35,0,35,35,0
35,35,0,35,35,0
43,43,0,43,43,0
36,36,0,36,36,0
34,34,0,34,34,0
77,77,0,77,77,0
76,76,0,76,76,0
83,83,0,83,83,0
