s,Accuracy,Precision,Recall,F1-score,Time
10,99.9,99.26,99.26,99.26,1.7193529605865479
10,99.85000000000001,97.83,100.0,98.9,1.5727324485778809
10,99.75,96.43,100.0,98.18,1.7299935817718506
10,99.95,99.26,100.0,99.63,1.6514003276824951
10,99.8,97.81,99.26,98.53,1.5749471187591553
50,99.75,96.43,100.0,98.18,1.5728647708892822
50,99.8,97.11999999999999,100.0,98.54,1.68458890914917
50,99.95,99.26,100.0,99.63,1.6323623657226562
50,99.9,98.54,100.0,99.26,1.6165771484375
50,99.8,97.11999999999999,100.0,98.54,1.7000362873077393
250,99.85000000000001,97.83,100.0,98.9,1.575953483581543
250,99.75,96.43,100.0,98.18,1.6194195747375488
250,99.9,98.54,100.0,99.26,1.600975513458252
250,99.85000000000001,97.83,100.0,98.9,1.6237351894378662
250,99.8,97.11999999999999,100.0,98.54,1.4855575561523438
1000,99.7,96.39999999999999,99.26,97.81,1.59360933303833
1000,99.75,98.50999999999999,97.78,98.14,1.6144225597381592
1000,99.85000000000001,97.83,100.0,98.9,1.5300655364990234
1000,99.55000000000001,95.65,97.78,96.7,1.5392413139343262
1000,99.5,94.96,97.78,96.35000000000001,1.615941047668457
