s,Accuracy,Precision,Recall,F1-score,Time
10,98.67,97.24000000000001,94.93,96.07,35.01986813545227
10,98.53,96.82,94.54,95.67,49.89811182022095
10,98.72,98.06,94.45,96.22,51.445724964141846
10,98.89,97.8,95.66,96.72,50.92707014083862
10,98.68,97.98,94.27,96.09,57.4632306098938
50,98.49,96.86,94.28999999999999,95.55,46.71309781074524
50,98.27,96.33,93.49,94.89,52.60869765281677
50,98.37,96.33,94.13,95.22,50.54317331314087
50,98.47,97.3,93.72,95.47,51.64123511314392
50,98.41,96.91,93.74,95.3,47.326744556427
250,96.78999999999999,96.39999999999999,84.46000000000001,90.03999999999999,32.09193229675293
250,96.84,96.85000000000001,84.35000000000001,90.16999999999999,31.2972092628479
250,96.59,95.23,84.39999999999999,89.49000000000001,32.26336884498596
250,96.82,96.48,84.58,90.14,32.88211917877197
250,96.81,96.33,84.65,90.11,37.598307609558105
1000,92.82000000000001,94.61,61.75000000000001,74.72999999999999,35.91182518005371
1000,92.74,95.17999999999999,60.84,74.22999999999999,36.45531249046326
1000,92.4,91.38,61.550000000000004,73.56,38.22469663619995
1000,92.80000000000001,94.51,61.71,74.66000000000001,40.62963557243347
1000,92.75,94.61,61.3,74.39,43.71688723564148
