s,Accuracy,Precision,Recall,F1-score,Time
5000,85.11999999999999,60.22,39.519999999999996,47.72,26.425320625305176
5000,84.61999999999999,57.54,39.910000000000004,47.13,27.817164421081543
5000,87.44,75.47,39.839999999999996,52.15,28.019287109375
5000,84.73,58.15,39.68,47.18,29.828752517700195
5000,83.26,51.64,40.760000000000005,45.56,28.14242959022522
1000,92.39,91.49000000000001,61.42999999999999,73.50999999999999,27.936025619506836
1000,92.12,90.61,60.38,72.47,28.234559059143066
1000,92.86999999999999,95.19999999999999,61.63999999999999,74.83,28.393627166748047
1000,92.0,88.56,61.370000000000005,72.5,29.18156909942627
1000,92.67999999999999,94.13,61.23,74.2,31.53253960609436
20000,85.22,59.730000000000004,42.91,49.94,28.188318729400635
20000,85.1,59.99,39.94,47.949999999999996,49.04217839241028
20000,86.66,69.62,39.68,50.55,41.23942732810974
20000,86.37,67.58999999999999,39.68,50.01,34.746140241622925
20000,86.72,69.73,40.160000000000004,50.970000000000006,26.836448431015015
