s,Accuracy,Precision,Recall,F1-score,Time
10,98.42,98.46000000000001,99.89,99.17,8.911664962768555
10,97.61999999999999,97.61,99.92,98.75,8.902689695358276
10,98.13,98.15,99.91,99.02,9.481322288513184
10,98.15,98.13,99.94,99.03,11.08910322189331
10,98.56,98.50999999999999,99.98,99.24,13.660303115844727
50,97.50999999999999,97.48,99.94,98.7,9.373015642166138
50,98.6,98.53,100.0,99.26,10.666001319885254
50,97.99,97.99,99.92,98.95,12.69228744506836
50,97.35000000000001,97.61999999999999,99.62,98.61,10.44296145439148
50,97.64,97.61,99.94,98.76,11.832492589950562
250,96.3,96.31,99.91,98.08,10.60011339187622
250,97.44,97.39,99.96000000000001,98.66,10.198288917541504
250,97.61999999999999,97.57000000000001,99.96000000000001,98.75,10.552132368087769
250,97.41,97.46000000000001,99.85000000000001,98.64,13.569605588912964
250,98.26,98.31,99.87,99.08,11.460708379745483
1000,96.77,96.89,99.77000000000001,98.31,9.924766540527344
1000,97.23,97.3,99.83,98.55000000000001,11.748866081237793
1000,95.86,95.99,99.77000000000001,97.85000000000001,10.676093339920044
1000,96.53,96.85000000000001,99.57000000000001,98.19,11.651805400848389
1000,96.21,96.34,99.77000000000001,98.03,9.905231475830078
