s,Accuracy,Precision,Recall,F1-score,Time
2000,96.91,96.93,99.89,98.38,6.575503826141357
2000,95.82000000000001,95.97,99.75,97.83,6.237102031707764
2000,95.67999999999999,96.17,99.38,97.75,6.668426990509033
2000,95.63000000000001,95.7,99.85000000000001,97.72999999999999,7.474295377731323
2000,96.07,96.05,99.94,97.96000000000001,7.443845510482788
4000,96.46000000000001,96.55,99.81,98.16,8.580146551132202
4000,97.44,97.71,99.62,98.66,7.06456184387207
4000,95.26,95.44,99.74,97.54,8.558147430419922
4000,96.0,95.95,99.98,97.92,7.783100128173828
4000,97.16,97.11,99.96000000000001,98.50999999999999,8.145349264144897
